storename,address,위도,경도
익산모현점,전북 익산시 고현로 98 (모현동1가) ,35.9456593,126.9436010
익산부송점,전북 익산시 부송1로 81 (부송동) ,35.9580265,126.9910036
익산영등점,전북 익산시 고봉로30길 14 (영등동) ,35.9560394,126.9717088
익산원대점,전북 익산시 무왕로 856 (신동) ,35.9648494,126.9538536
전북고창점,전북 고창군 고창읍 중앙로 230 ,35.4348981,126.7006124
전북부안점,전북 부안군 부안읍 번영로 169 ,35.7270638,126.7387531
전북임실점,전북 임실군 임실읍 운수로 25 ,35.6148388,127.2839064
전주덕진구청점,전북 전주시 덕진구 태진로 120 (진북동) ,35.8316746,127.1359910
전주동산점,전북 전주시 덕진구 편운로 29 (여의동2가) ,35.8721049,127.0793483
전주삼익점,전북 전주시 완산구 거마남로 84 (삼천동1가) ,35.7956319,127.1257499
전주삼천점,"전북 전주시 완산구 삼천천변1길 45 (삼천동1가, 흥건2차아파트) ",35.7957216,127.1157281
전주서곡점,전북 전주시 완산구 세내로 558 (효자동3가) ,35.8346744,127.0984524
전주서부시장점,전북 전주시 완산구 용머리로 157 (효자동1가) ,35.8062703,127.1272760
전주서신점,전북 전주시 완산구 당산로 39 (서신동) ,35.8323463,127.1127264
전주송천대명점,전북 전주시 덕진구 시천로 50 (송천동1가) ,35.8638280,127.1147025
전주송천점,전북 전주시 덕진구 붓내3길 19 (송천동2가) ,35.8668269,127.1237040
전주아중점,전북 전주시 덕진구 무삼지로 21 (인후동1가) ,35.8277667,127.1651265
전주전북대점,전북 전주시 덕진구 백제대로 639 (금암동) ,35.8430414,127.1393179
전주중화산점,전북 전주시 완산구 유연로 282 (중화산동2가) ,35.8251582,127.1162675
전주평화점,전북 전주시 완산구 평화로 136 (평화동2가) ,35.7886027,127.1353907
전주하가지구점,전북 전주시 덕진구 가련산로 17 (덕진동2가) ,35.8416476,127.1106143
전주혁신점,전북 전주시 덕진구 안전로 197 (장동) ,35.8415711,127.0578516
전주호성점,전북 전주시 덕진구 호성1길 12 (우아동3가) ,35.8560353,127.1550691
전주효자점,전북 전주시 완산구 거마평로 204-1 (효자동1가) ,35.8106364,127.1150204
전주휴먼시아점,전북 전주시 완산구 호암로 19 (효자동2가) ,35.8091922,127.0967696
정읍상동점,전북 정읍시 충정로 75 (상동) ,35.5602366,126.8684358
정읍수성점,전북 정읍시 샘골로 116 (수성동) ,35.5796911,126.8575336
화곡본동시장점,서울 강서구 까치산로 45 (화곡동) ,37.5434181,126.8449152
가양대교점,서울 강서구 화곡로68길 36 (등촌동) ,37.5585501,126.8566027
마곡역점,"서울 강서구 공항대로 140 (마곡동, 마곡엠밸리12단지) ",37.5590030,126.8228734
등촌점,서울 강서구 공항대로41길 50 (등촌동) ,37.5598941,126.8461161
염창점,서울 강서구 양천로 696 (염창동) ,37.5499909,126.8730785
곰달래점,서울 강서구 곰달래로 165 (화곡동) ,37.5309613,126.8512621
방화역점,서울 강서구 금낭화로 128 (방화동) ,37.5765653,126.8126977
